canal,utm_source,utm_medium,utm_campaign,utm_content,url
whatsapp,whatsapp,organic,challenge_100j_automne_2026,pratique_v1,"https://elhisse-clprepas.github.io/offre-formation-ia/?utm_source=whatsapp&utm_medium=organic&utm_campaign=challenge_100j_automne_2026&utm_content=pratique_v1"
facebook,facebook,organic,challenge_100j_automne_2026,pratique_v1,"https://elhisse-clprepas.github.io/offre-formation-ia/?utm_source=facebook&utm_medium=organic&utm_campaign=challenge_100j_automne_2026&utm_content=pratique_v1"
linkedin,linkedin,organic,challenge_100j_automne_2026,pratique_v1,"https://elhisse-clprepas.github.io/offre-formation-ia/?utm_source=linkedin&utm_medium=organic&utm_campaign=challenge_100j_automne_2026&utm_content=pratique_v1"
